x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref vx_cmd om_cmd time
0.696445465088 0.867183685303 1.57707059383 0.101625635792 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.927188866142 1.5708 0.0883883476483 0.0 0.0 0.0 0.151173708202 -0.0023612771781 1516816232.6
0.696668624878 0.86763381958 1.57668864727 0.101628828478 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.928952189026 1.5708 0.0883883476483 0.0 0.0 0.0 0.151449549889 -0.00173357164393 1516816232.62
0.698945999146 0.867952346802 1.57641232014 0.101631129049 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.93071551191 1.5708 0.0883883476483 0.0 0.0 0.0 0.151725512531 -0.00164973168053 1516816232.64
0.695339202881 0.871505737305 1.57564949989 0.101637439656 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.932478834794 1.5708 0.0883883476483 0.0 0.0 0.0 0.152001313866 0.000563098418214 1516816232.66
0.696613311768 0.87166595459 1.5764759779 0.101630599752 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.934242157678 1.5708 0.0883883476483 0.0 0.0 0.0 0.152277261145 -0.00135263776409 1516816232.68
0.695526123047 0.874244689941 1.57626414299 0.101632359507 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.936005480562 1.5708 0.0883883476483 0.0 0.0 0.0 0.152553136329 -0.000792583730398 1516816232.71
0.697134017944 0.87479019165 1.5760986805 0.101633730865 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.937768803446 1.5708 0.0883883476483 0.0 0.0 0.0 0.152829114184 -0.000785119566268 1516816232.72
0.696947097778 0.879165649414 1.57599961758 0.101634550569 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.93953212633 1.5708 0.0883883476483 0.0 0.0 0.0 0.153104867119 -0.000579477815968 1516816232.74
0.696599960327 0.880908966064 1.57562732697 0.101637622202 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.941295449214 1.5708 0.0883883476483 0.0 0.0 0.0 0.153380617946 0.000381172372305 1516816232.76
0.700784683228 0.880575180054 1.57616329193 0.107274138848 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.943058772098 1.5708 0.0883883476483 0.0 0.0 0.0 0.153078661085 -0.00153260746035 1516816232.78
0.693723678589 0.88258934021 1.57488381863 0.107257185974 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.944822094982 1.5708 0.0883883476483 0.0 0.0 0.0 0.152776705246 0.00218631014588 1516816232.8
0.696979522705 0.887145996094 1.57503783703 0.107259235997 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.946585417866 1.5708 0.0883883476483 0.0 0.0 0.0 0.152474507246 0.00134770588877 1516816232.82
0.691289901733 0.888189315796 1.57351469994 0.107238850841 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.94834874075 1.5708 0.0883883476483 0.0 0.0 0.0 0.152172398237 0.00500193420185 1516816232.84
0.697309494019 0.889848709106 1.57495832443 0.107258177982 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.950112063634 1.5708 0.0883883476483 0.0 0.0 0.0 0.151870272271 0.00142874582958 1516816232.86
0.699056625366 0.89098739624 1.57507824898 0.107259773468 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.951875386518 1.5708 0.0883883476483 0.0 0.0 0.0 0.151568197719 0.000913677262326 1516816232.88
0.697360992432 0.89377784729 1.57582342625 0.107269652794 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.953638709402 1.5708 0.0883883476483 0.0 0.0 0.0 0.151266021995 -0.000340248780918 1516816232.9
0.699892044067 0.89444732666 1.57571566105 0.107268227761 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.955402032286 1.5708 0.0883883476483 0.0 0.0 0.0 0.150963941921 -0.000595084618414 1516816232.92
0.696147918701 0.899839401245 1.57528722286 0.107262549988 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.95716535517 1.5708 0.0883883476483 0.0 0.0 0.0 0.150661558355 0.00105794750026 1516816232.94
0.699430465698 0.900436401367 1.57574939728 0.107268674006 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.958928678054 1.5708 0.0883883476483 0.0 0.0 0.0 0.150359266623 -0.000573194491639 1516816232.96
0.694705963135 0.902336120605 1.574832201 0.107256498362 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.960692000938 1.5708 0.0883883476483 0.0 0.0 0.0 0.150056979398 0.00210450328039 1516816232.98
0.69616317749 0.903987884521 1.57557785511 0.107266403669 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.962455323822 1.5708 0.0883883476483 0.0 0.0 0.0 0.14975468855 0.000547997205173 1516816233.0
0.69380569458 0.906702041626 1.57522797585 0.107261763282 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.964218646706 1.5708 0.0883883476483 0.0 0.0 0.0 0.149452322371 0.0015712488848 1516816233.02
0.693281173706 0.908489227295 1.57527506351 0.107262388562 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.96598196959 1.5708 0.0883883476483 0.0 0.0 0.0 0.149149953315 0.00158085137801 1516816233.04
0.695394515991 0.913799285889 1.57635474205 0.107276660435 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.967745292474 1.5708 0.0883883476483 0.0 0.0 0.0 0.148847261324 -0.000923497938054 1516816233.06
0.697452545166 0.911794662476 1.57655155659 0.107279248579 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.969508615358 1.5708 0.0883883476483 0.0 0.0 0.0 0.14854488888 -0.00162717809445 1516816233.08
0.695581436157 0.916193008423 1.57639336586 0.107277168673 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.971271938242 1.5708 0.0883883476483 0.0 0.0 0.0 0.148242293324 -0.00102362368801 1516816233.1
0.693655014038 0.919628143311 1.57650256157 0.107278604675 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.973035261126 1.5708 0.0883883476483 0.0 0.0 0.0 0.147939552572 -0.000877095177801 1516816233.12
0.694774627686 0.917932510376 1.57601583004 0.107272193948 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.97479858401 1.5708 0.0883883476483 0.0 0.0 0.0 0.147637116783 -0.000223465780253 1516816233.14
0.69362449646 0.921060562134 1.57537066936 0.107263657386 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.976561906894 1.5708 0.0883883476483 0.0 0.0 0.0 0.147334575348 0.00135389446434 1516816233.16
0.698053359985 0.923118591309 1.57654476166 0.107279159294 -0.00991537492388 0.0 8.29515449994e-05 0.746218987835 0.978325229778 1.5708 0.0883883476483 0.0 0.0 0.0 0.14703198811 -0.0017204621755 1516816233.18
0.691596984863 0.92409324646 1.57519543171 0.104920555172 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.980088552662 1.5708 0.0883883476483 0.0 0.0 0.0 0.147303605524 0.00201220940117 1516816233.2
0.696350097656 0.926944732666 1.57636904716 0.104937468835 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.981851875546 1.5708 0.0883883476483 0.0 0.0 0.0 0.147003681492 -0.00111817562786 1516816233.22
0.698213577271 0.927640914917 1.57586610317 0.10493023831 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.98361519843 1.5708 0.0883883476483 0.0 0.0 0.0 0.147275285862 -0.000566376558321 1516816233.24
0.694646835327 0.930410385132 1.57510185242 0.104919200324 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.985378521314 1.5708 0.0883883476483 0.0 0.0 0.0 0.146975388241 0.00164183112805 1516816233.26
0.694005966187 0.93391418457 1.57542002201 0.104923803057 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.987141844198 1.5708 0.0883883476483 0.0 0.0 0.0 0.146675336081 0.00119860500903 1516816233.28
0.687528610229 0.938539505005 1.57428908348 0.104907394356 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.988905167083 1.5708 0.0883883476483 0.0 0.0 0.0 0.146375057749 0.00430623713127 1516816233.3
0.691326141357 0.939590454102 1.57414925098 0.104905356216 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.990668489967 1.5708 0.0883883476483 0.0 0.0 0.0 0.146074842867 0.00388575274549 1516816233.32
0.695657730103 0.938766479492 1.57527005672 0.10492163494 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.992431812851 1.5708 0.0883883476483 0.0 0.0 0.0 0.145774830744 0.00117131668809 1516816233.34
0.690486907959 0.944765090942 1.5741174221 0.104904892005 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.994195135735 1.5708 0.0883883476483 0.0 0.0 0.0 0.14547447515 0.00408817609229 1516816233.36
0.693559646606 0.944780349731 1.57490611076 0.104916363392 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.995958458619 1.5708 0.0883883476483 0.0 0.0 0.0 0.145174255975 0.00217376126182 1516816233.38
0.692914962769 0.945142745972 1.57338964939 0.104894248744 -0.00277644838346 0.0 -3.71947422369e-05 0.746218987835 0.997721781503 1.5708 0.0883883476483 0.0 0.0 0.0 0.144874182807 0.0049336247309 1516816233.4
