time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc,kx,ky,kt,accuracy,cost
27978.019,-1.7738036780479502,0.974904171510528,-1.0380056540118616,0.2158649468900634,-0.3759525805884879,0.21631271334753457,-1.7227860689163208,0.9841218590736389,,0.21386800706386566,-0.3626924157142639,0.21052631735801697,0.016980693699244976,0.048983857004234285,0.020347146347406753,0.43350149512677527,0.421052634716,0.4310105054880706,0.4389619278471783,0.5916359243007258,9.984989160771557,2.6263418430268923,98.26667022705078,0.010589827766173407
27978.169,-1.7738036780479502,0.974904171510528,-1.0380056540118616,0.2158649468900634,-0.3759525805884879,0.21631271334753457,-1.7227860689163208,0.9841218590736389,,0.21386800706386566,-0.3626924157142639,0.21052631735801697,0.016980693699244976,0.048983857004234285,0.020347146347406753,0.43350149512677527,0.421052634716,0.4310105054880706,0.4389619278471783,0.5916359243007258,9.984989160771557,2.6263418430268923,98.26667022705078,0.010589827766173407
27978.32,-1.7115558313675243,0.8739931845165503,-0.9799006620990198,0.23475102672481127,-0.35820679947200024,0.21604055942496508,-1.6608257293701172,0.8858287334442139,,0.2326556295156479,-0.35093188285827637,0.21052762866020203,0.017490984355024983,0.04906820695092414,0.019270730470371533,0.42826031363780515,0.421048492193,0.431329955290292,0.43813287871948975,0.5923637159186682,9.98527922542354,2.626396032984162,98.26667022705078,0.010568004057087509
27978.469,-1.7115558313675243,0.8739931845165503,-0.9799006620990198,0.23475102672481127,-0.35820679947200024,0.21604055942496508,-1.6608257293701172,0.8858287334442139,,0.2326556295156479,-0.35093188285827637,0.21052762866020203,0.017490984355024983,0.04906820695092414,0.019270730470371533,0.42826031363780515,0.421048492193,0.431329955290292,0.43813287871948975,0.5923637159186682,9.98527922542354,2.626396032984162,98.26667022705078,0.010568004057087509
27978.619,-1.6432457668130223,0.7774253746131587,-0.9220059553729456,0.25889189153870906,-0.3472769127275618,0.21128016468860847,-1.5935510396957397,0.7916144728660583,,0.2543409466743469,-0.33554795384407043,0.21052762866020203,0.01781176332496214,0.048514302012366894,0.01879950167413802,0.43313405728418736,0.421048402786,0.4315369268800723,0.43528127015657253,0.5931143626553524,9.985164077565022,2.626384827203633,98.26667022705078,0.010332625059166113
27978.77,-1.6432457668130223,0.7774253746131587,-0.9220059553729456,0.25889189153870906,-0.3472769127275618,0.21128016468860847,-1.5935510396957397,0.7916144728660583,,0.2543409466743469,-0.33554795384407043,0.21052762866020203,0.01781176332496214,0.048514302012366894,0.01879950167413802,0.43313405728418736,0.421048402786,0.4315369268800723,0.43528127015657253,0.5931143626553524,9.985164077565022,2.626384827203633,98.26667022705078,0.010332625059166113
27978.919,-1.5701963645642916,0.684697293878916,-0.864321533833639,0.2719285635927641,-0.32890486378707856,0.21038175005880466,-1.5212554931640625,0.7017344236373901,,0.2750054895877838,-0.3188183903694153,0.2105226069688797,0.017906289919929957,0.04862959453999447,0.01866726746424696,0.4267573841569151,0.421038210392,0.4315971847761509,0.4356006092174116,0.5938642382866033,9.984728292038856,2.62632400825059,98.26667022705078,0.010372378765982572
27979.069,-1.5701963645642916,0.684697293878916,-0.864321533833639,0.2719285635927641,-0.32890486378707856,0.21038175005880466,-1.5212554931640625,0.7017344236373901,,0.2750054895877838,-0.3188183903694153,0.2105226069688797,0.017906289919929957,0.04862959453999447,0.01866726746424696,0.4267573841569151,0.421038210392,0.4315971847761509,0.4356006092174116,0.5938642382866033,9.984728292038856,2.62632400825059,98.26667022705078,0.010372378765982572
27979.219,-1.491694066681933,0.5948415273508803,-0.8064268271075647,0.29394316309355173,-0.3184525949511706,0.21676232670486617,-1.443637728691101,0.6158360838890076,,0.2914018929004669,-0.3039247393608093,0.21052631735801697,0.01721465397231741,0.04953623637232719,0.018024212372416137,0.4333756679555022,0.421052634716,0.43122020137228745,0.4386972654651832,0.5946864748211291,9.983989909653344,2.6262135033180107,98.26667022705078,0.010663981960925039
27979.369,-1.408165632538449,0.510615710769724,-0.7485321203814905,0.31879059399335075,-0.3010464759277723,0.21185000076829724,-1.3610787391662598,0.5346757769584656,,0.3069884181022644,-0.28816530108451843,0.21052762866020203,0.017318213016410438,0.049961403206563185,0.016206791981852042,0.438456659279955,0.421047657728,0.4313032202916011,0.4384448839943206,0.5954625060879509,9.982612252364746,2.6260328850929673,98.26667022705078,0.010731009924340035
