x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref kx ky kt vx_cmd om_cmd df_fa0 df_da1 df_da2 time
-0.175922456296 -0.0763476529164 6.30774714909 0.0990283411412 -0.00077120391238 0.00864331935387 -3.74185475265 -0.188167519499 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1511477878 13.6189159166 42.8533461999 0.0145011064085 -0.000894990251001 4.38366893713e-06 6.70820495389e-06 -2.14877659632e-06 1516660681.76
-0.17541387073 -0.0763351600433 6.3077281081 0.0304251342707 -0.00113874604127 -0.0219808566774 -4.10281472331 -0.186008210478 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15081424145 13.6182910154 42.8535465073 -0.0364831569412 -0.000978885929756 3.33546357803e-06 6.24901191198e-06 -2.00307387872e-06 1516660681.77
-0.17541387073 -0.0763351600433 6.3077281081 0.0304251342707 -0.00113874604127 -0.0219808566774 -4.10281472331 -0.186008210478 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15053334985 13.617648455 42.8537523159 -0.0406392148596 -0.000896696068739 2.80891593358e-06 6.42560390324e-06 -2.05808618658e-06 1516660681.78
-0.17541387073 -0.0763351600433 6.30770942644 0.0 -0.000804275659099 0.0143994915248 -1.30985129456 -0.183848901457 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15031388221 13.6170496141 42.8539442542 -0.0534595378215 -0.00098028178175 2.19467644593e-06 5.9884087487e-06 -1.91938321177e-06 1516660681.79
-0.17541387073 -0.0763351600433 6.30770942644 0.0 -0.000804275659099 0.0143994915248 -1.30985129456 -0.183848901457 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15011273079 13.6164682403 42.8541304525 -0.0534698690468 -0.000899132599665 2.01151422962e-06 5.81373840456e-06 -1.86198252413e-06 1516660681.8
-0.17541387073 -0.0763351600433 6.30769031256 0.0 -0.000968967004588 -0.00834893178567 0.0 -0.181689592436 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14997064456 13.6159341294 42.8543016321 -0.0358759235675 -0.000982057382981 1.42086225296e-06 5.34110846439e-06 -1.71179652306e-06 1516660681.81
-0.17541387073 -0.0763351600433 6.30769031256 0.0 -0.000968967004588 -0.00834893178567 0.0 -0.181689592436 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1498174351 13.6154024388 42.8544719034 -0.0358871606157 -0.000898389099165 1.53209462297e-06 5.3169057301e-06 -1.70271290712e-06 1516660681.82
-0.17541387073 -0.0763351600433 6.30767182377 0.0 -0.00091861448235 0.0025017624847 0.0 -0.179530283415 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14973614645 13.6149233506 42.8546254353 -0.0182942873192 -0.000980741613652 8.12886507181e-07 4.79088202284e-06 -1.53531872444e-06 1516660681.83
-0.17541387073 -0.0763351600433 6.30767182377 0.0 -0.00091861448235 0.0025017624847 0.0 -0.179530283415 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14964938122 13.6144506607 42.8547768025 -0.0183056062561 -0.000899367281512 8.67652241544e-07 4.72689904206e-06 -1.51367175454e-06 1516660681.84
-0.17541387073 -0.0763351600433 6.30765273029 0.0 -0.000962222737431 -0.00219765317825 0.0 -0.177370974394 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14964589131 13.6140331919 42.854910579 -0.000713269930715 -0.000981090782479 3.48991636276e-08 4.17468829139e-06 -1.33776558076e-06 1516660681.85
-0.17541387073 -0.0763351600433 6.30765273029 0.0 -0.000962222737431 -0.00219765317825 0.0 -0.177370974394 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14964208978 13.6136192813 42.8550431119 -0.000725151630184 -0.000896313930276 3.80152633007e-08 4.13910610348e-06 -1.32532875803e-06 1516660681.86
-0.17541387073 -0.0763351600433 6.30763362821 0.0 -0.000945691329558 0.000818424595653 0.0 -0.175211665373 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14973373053 13.61325853 42.8551587033 0.0168673665407 -0.000977452618942 -9.16407462111e-07 3.60751289153e-06 -1.15591396688e-06 1516660681.87
-0.17541387073 -0.0763351600433 6.30763362821 0.0 -0.000945691329558 0.000818424595653 0.0 -0.175211665373 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1498304424 13.6129062512 42.8552714917 0.0168556872705 -0.00089201066612 -9.67118713508e-07 3.5227878754e-06 -1.12788431932e-06 1516660681.88
-0.175083982219 -0.0763270947837 6.30761526882 0.0166426116989 -0.000925940217999 0.000996130131039 0.839355644497 -0.173052356352 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15003418772 13.6126084959 42.8553668895 0.0510869359018 -0.000972508785706 -2.03745317271e-06 2.9775526975e-06 -9.53977326483e-07 1516660681.89
-0.175083982219 -0.0763270947837 6.30761526882 0.0166426116989 -0.000925940217999 0.000996130131039 0.839355644497 -0.173052356352 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15024789761 13.6123089153 42.8554627998 0.0483869598675 -0.000889979463787 -2.13709892593e-06 2.99580651476e-06 -9.59103674372e-07 1516660681.9
-0.174069361769 -0.0763023075921 6.30759625194 0.0505209631621 -0.000946624102343 -0.00102960478092 1.68640048725 -0.17089304733 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1505796064 13.612069179 42.8555396042 0.0998508748747 -0.000969886139812 -3.31708795972e-06 2.39736283515e-06 -7.6804395399e-07 1516660681.91
-0.174069361769 -0.0763023075921 6.30759625194 0.0505209631621 -0.000946624102343 -0.00102960478092 1.68640048725 -0.17089304733 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15091196842 13.6118156327 42.8556207696 0.091568549315 -0.000883845905644 -3.323620167e-06 2.53546297027e-06 -8.11653510221e-07 1516660681.92
-0.172164419799 -0.0762558056726 6.30757779617 0.0956827687318 -0.000926733801192 0.000998766532296 2.26774343938 -0.168733738309 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15137040876 13.6116222285 42.8556827251 0.154315309097 -0.000963266606236 -4.58440342813e-06 1.93404205486e-06 -6.19554903213e-07 1516660681.93
-0.172164419799 -0.0762558056726 6.30757779617 0.0956827687318 -0.000926733801192 0.000998766532296 2.26774343938 -0.168733738309 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15178846115 13.6113982099 42.8557544333 0.138773594054 -0.000879549976597 -4.18052389329e-06 2.24018614185e-06 -7.17081934349e-07 1516660681.94
-0.169227716151 -0.0761841712997 6.30755933185 0.147335658689 -0.000926087013204 3.24399761826e-05 2.59067661922 -0.166574429288 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15235345322 13.6112272222 42.8558092042 0.208012338907 -0.000958704749111 -5.64992067228e-06 1.70987668172e-06 -5.47709067601e-07 1516660681.95
-0.169227716151 -0.0761841712997 6.30755933185 0.147335658689 -0.000926087013204 3.24399761826e-05 2.59067661922 -0.166574429288 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15277276275 13.6110077864 42.8558794407 0.184054673661 -0.000874919582846 -4.19309527543e-06 2.19435774778e-06 -7.02365252342e-07 1516660681.96
