time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc
11745.271,0.00053860664765,-0.000401160081263,0.000187504745554,0.00518520861668,-0.000356314889652,0.00203960846281,0.000375009491108,3.57115332861e-08,,0.0015380717814,2.58703579448e-07,0.000769035890698,-0.000163334641477,0.000401302739437,-0.000466739581065,0.00518497438997,0.0015380717814,0.0,0.00584146640667
11745.291,0.000622299950674,-0.000410228231206,0.000207863893593,0.00418466515146,-0.000453407497195,0.00219554940921,0.000415727787185,4.32073932188e-08,,0.00178169040009,3.70349027889e-07,0.000890845200047,-0.000206285679982,0.000410415558054,-0.000490291421208,0.00418434758278,0.00178169040009,0.0,0.00593901495958
11745.312,0.000672423954402,-0.000424664538436,0.000207863893593,0.00250620018635,-0.000721815361466,0.00260351155912,0.000415727787185,4.32073932188e-08,,0.00178169040009,3.70349027889e-07,0.000890845200047,-0.000256377468406,0.000424900206312,-0.000542361652392,0.00250565795678,0.00178169040009,0.0,-0.00412727005532
11745.331,0.000696266743594,-0.000442536737364,0.000257799692918,0.00119213945958,-0.000893609946409,0.00234426654083,0.000515599385835,6.81015421833e-08,,0.00204712618142,5.27562178831e-07,0.00102356309071,-0.000180314495268,0.000442748710195,-0.000539311183884,0.00119142677471,0.00204712618142,0.0,0.00605385925129
11745.352,0.000704034987452,-0.000460641404032,0.000283388770185,0.000388412192895,-0.000905233333339,0.00109376759568,0.000566777540371,8.12905938119e-08,,0.00204712618142,5.27562178831e-07,0.00102356309071,-0.000136880075549,0.00046083495206,-0.000535597458531,0.000387670689082,0.00204712618142,0.0,0.00610543948686
11745.372,0.000705757480261,-0.00047636335002,0.000283388770185,8.61246404614e-05,-0.000786097299498,0.000832954081831,0.000566777540371,8.12905938119e-08,,0.00204712618142,5.27562178831e-07,0.00102356309071,-0.000138581752682,0.000476560612184,-0.000552256540166,8.54677119455e-05,0.00204712618142,0.0,0.00611061884323
11745.392,0.000708017941858,-0.000486946740913,0.000310280767735,0.000107641028441,-0.000503970994889,5.24599826431e-05,0.00062056153547,9.62741495414e-08,,0.00232710596174,7.2205619972e-07,0.00116355298087,-8.70488440525e-05,0.000487116023437,-0.000526466202252,0.000107219294605,0.00232710596174,0.0,0.00632812457715
11745.411,0.000709686759718,-0.000498560717114,0.000310280767735,8.78325189177e-05,-0.00061126190526,0.000194184376366,0.00062056153547,9.62741495414e-08,,0.00232710596174,7.2205619972e-07,0.00116355298087,-8.87061032978e-05,0.000498731719234,-0.000530155705403,8.73187611589e-05,0.00232710596174,0.0,0.00634982662527
11745.431,0.000715523569845,-0.000513592823094,0.000374591327272,0.000291840506352,-0.000751605298999,0.00170068065959,0.000749182654545,1.43024863064e-07,,0.00262890290469,9.84493226497e-07,0.00131445145234,3.41083081302e-05,0.000513706218354,-0.000499858759058,0.000291183153537,0.00262890313752,0.0015116993097,0.00659877111965
11745.451,0.000722735666235,-0.000526958308475,0.00040745260776,0.000360604819513,-0.000668274269091,0.00166443100971,0.00081490521552,1.67637182358e-07,,0.00262890290469,9.84493226497e-07,0.00131445145234,9.26480038707e-05,0.000527042062628,-0.000500286098762,0.000359998052609,0.00262890313752,0.00384797291804,0.00663156101477
11745.472,0.000735204264992,-0.000542253550676,0.00040745260776,0.000623429937862,-0.000764762110034,0.00216929059518,0.00081490521552,1.67637182358e-07,,0.00262890290469,9.84493226497e-07,0.00131445145234,8.02168244912e-05,0.000542345136994,-0.000543671910667,0.000622702271988,0.00262890313752,0.00614498457807,0.0065829168597
11745.491,0.000759889234931,-0.000555447637053,0.000441786483862,0.00123424849692,-0.000659704318869,0.00233731853315,0.000883572967723,1.95175289264e-07,,0.0029452429153,1.30116859509e-06,0.00147262169048,0.000124238130908,0.000555519115327,-0.000556084405229,0.00123358958279,0.00294524314813,0.00797880333363,0.00674918980203
11745.512,0.000805072936935,-0.000567734652338,0.000441786483862,0.00225918510015,-0.00061435076422,0.00201616721741,0.000883572967723,1.95175289264e-07,,0.0029452429153,1.30116859509e-06,0.00147262169048,7.90896098485e-05,0.000567848023292,-0.000596407749578,0.00225854606732,0.00294524314813,0.00966009842951,0.00669927544207
11745.531,0.000888213020993,-0.000581781458672,0.000522289832588,0.00415700420279,-0.000702340316679,0.00205593614648,0.00104457954876,2.77008268768e-07,,0.00328340055421,1.71450949438e-06,0.0016417009756,0.000156994659814,0.000581889359529,-0.000557023123782,0.00415624373665,0.00328340101987,0.00756943299103,0.0069821705914
11745.551,0.00100827120823,-0.000596073253295,0.000563332345337,0.00600290936219,-0.000714589731182,0.00237494080851,0.00112666457426,3.19871020338e-07,,0.00328340055421,1.71450949438e-06,0.0016417009756,0.000119065313519,0.000596259338683,-0.000563479427201,0.00600210034327,0.00328340101987,0.00521276511808,0.00700623303875
11745.578,0.00115325665326,-0.000607656614876,0.000606017187238,0.00536983129738,-0.000429013391922,0.00167149116948,0.00121203414164,3.67256745903e-07,,0.00363610195927,2.20354036173e-06,0.00181805132888,5.94900165929e-05,0.000607954570284,-0.000565924846876,0.00536932483108,0.00363610265777,0.00155203620712,0.00720974510935
11745.593,0.0012972591831,-0.000619251929822,0.000606017187238,0.00960016865567,-0.000773020996276,0.00330642593374,0.00121203414164,3.67256745903e-07,,0.00363610195927,2.20354036173e-06,0.00181805132888,-8.44680894196e-05,0.00061972282992,-0.000615521235886,0.00959921721859,0.00363610265777,0.0,0.0071333465425
11745.611,0.00141165594343,-0.000631608027542,0.000606017187238,0.00635537557356,-0.000686449873375,0.00336537984273,0.00121203414164,3.67256745903e-07,,0.00363610195927,2.20354036173e-06,0.00181805132888,-0.000198811372779,0.00063223070295,-0.000676098073055,0.0063544902424,0.00363610265777,0.0,0.00705630086429
11745.632,0.0014863341647,-0.0006431739304,0.00070453126682,0.00373391106396,-0.000578295142923,0.00267956510316,0.00140906241722,5.02663283442e-07,,0.00401062052697,2.82509881799e-06,0.00200531096198,-7.64119157538e-05,0.000643779231837,-0.000631175295533,0.00373313530072,0.00401062145829,0.0,0.00735849172192
11745.653,0.00151987477242,-0.000659027498922,0.000754664069973,0.00159717179587,-0.000754931834377,0.00266038574204,0.00150932790712,5.73290776629e-07,,0.00401062052697,2.82509881799e-06,0.00200531096198,-9.62897163991e-06,0.000659614827793,-0.000636910592964,0.00159611970575,0.00401062145829,0.0,0.00738444234306
11745.672,0.00152897507299,-0.000673874419326,0.000754664069973,0.000478963188254,-0.000781416863329,0.00282126934576,0.00150932790712,5.73290776629e-07,,0.00401062052697,2.82509881799e-06,0.00200531096198,-1.86724481822e-05,0.000674475399454,-0.000690514710534,0.00047783340141,0.00401062145829,0.0,0.0073124158628
11745.692,0.0015288727115,-0.000690540928326,0.000806608819403,-5.11807492348e-06,-0.00083332545001,0.00225297191359,0.00161321740597,6.50617721476e-07,,0.00439968332648,3.54882354259e-06,0.0021998421289,8.53746404994e-05,0.000691065084905,-0.000683629399377,-6.35992221498e-06,0.00439968472347,0.00150440938115,0.00756089483062
11745.712,0.00152288233767,-0.000707774832887,0.000806608819403,-0.000299518691125,-0.000861695228081,0.00233967630673,0.00161321740597,6.50617721476e-07,,0.00439968332648,3.54882354259e-06,0.0021998421289,9.14238335721e-05,0.00070828576598,-0.000730422925508,-0.000300842789723,0.00439968472347,0.00354238122449,0.00750984667414
11745.732,0.00152818748929,-0.000721921303225,0.000924951862544,0.000265257580599,-0.000707323516909,0.002034176079,0.00184990337584,8.64598405315e-07,,0.00481056421995,4.44887200501e-06,0.00240528327413,0.000322855836029,0.000722277426202,-0.000652763403948,0.000264141295813,0.0048105660826,0.00624369570913,0.00790518953598
11745.752,0.00154744982546,-0.000735730470727,0.000985083868727,0.000963116808683,-0.000690458375065,0.00200162251431,0.00197016750462,9.75820285021e-07,,0.00481056421995,4.44887200501e-06,0.00240528327413,0.000423908930415,0.00073602147673,-0.000632663848052,0.000961998561421,0.0048105660826,0.00899871690696,0.00798037240594
11745.772,0.00159495939617,-0.000747978303626,0.000985083868727,0.00226236051005,-0.000583230138024,0.0021540750179,0.00197016750462,9.75820285021e-07,,0.00481056421995,4.44887200501e-06,0.00240528327413,0.00037645308725,0.000748329123762,-0.000677899423429,0.00226138748022,0.0048105660826,0.0114311452621,0.0079205714954
11745.792,0.00168719992112,-0.000757516241806,0.00104719761293,0.00461202624757,-0.000476896909046,0.00218374753673,0.00209439476021,1.09662278192e-06,,0.00523598492146,5.48311300008e-06,0.00261799385771,0.000408488938345,0.000757916817698,-0.000659460629954,0.00461120563124,0.00523598771542,0.0130189697645,0.00819446866873
11745.812,0.00182577969105,-0.000769299330831,0.00104719761293,0.00729367210165,-0.000620162580258,0.00257733138496,0.00209439476021,1.09662278192e-06,,0.00523598492146,5.48311300008e-06,0.00261799385771,0.000269967182847,0.000769923178575,-0.000708429926269,0.00729257208733,0.00523598771542,0.0103444622541,0.00812732800506
11745.832,0.00201173945838,-0.00077824251049,0.00118718761951,0.00885522701562,-0.000425865698048,0.00271461341924,0.00237437454052,1.42206329201e-06,,0.00568322837353,6.74620059726e-06,0.00284161511809,0.000364047732463,0.000779005968461,-0.000625446801501,0.00885444052966,0.00568323256448,0.0078550702564,0.00854270964642
11745.851,0.00222080302493,-0.000785733770358,0.00125822797418,0.0110033456078,-0.000394276835141,0.00308822955415,0.00251645524986,1.59071828421e-06,,0.00568322837353,6.74620059726e-06,0.00284161511809,0.000297125035214,0.000786769853241,-0.000613082808361,0.0110025885279,0.00568323256448,0.00530434725467,0.00858674950474
11745.871,0.00242585877487,-0.000795992503509,0.00125822797418,0.0102527874974,-0.000512936657578,0.00332159661603,0.00251645524986,1.59071828421e-06,,0.00568322837353,6.74620059726e-06,0.00284161511809,9.21418150161e-05,0.000797406171843,-0.000679514740677,0.0102517743099,0.00568323256448,0.00268349720643,0.0084848905253
11745.893,0.00260530036786,-0.000807409038526,0.00133141968399,0.00815643604459,-0.000518933409824,0.00314760790809,0.00266283866949,1.77267816071e-06,,0.00614500744268,8.18158969196e-06,0.00307250674814,5.91622043515e-05,0.000809064608268,-0.000675570404841,0.00815537812399,0.00614501303062,0.0,0.0087529683628
11745.913,0.00273687566132,-0.000818830104252,0.00133141968399,0.0069250154452,-0.000601108722422,0.00320628201693,0.00266283866949,1.77267816071e-06,,0.00614500744268,8.18158969196e-06,0.00307250674814,-7.23399024848e-05,0.000820754129548,-0.000736489763164,0.00692375760114,0.00614501303062,0.0,0.00865851187599
11745.931,0.0028184646926,-0.000832987462202,0.00149487459566,0.00429415954105,-0.000745124102656,0.00313548411057,0.00298974802718,2.25185726777e-06,,0.00662860553712,9.90786429611e-06,0.003314307658,0.000173059903601,0.000834873027028,-0.000632609049594,0.00429256458482,0.0066286129877,0.0,0.00914345402562
11745.952,0.00285934659401,-0.000847684157853,0.00157773226965,0.00204409507069,-0.000734834782602,0.00272537772762,0.00315546314232,2.49955382969e-06,,0.00662860553712,9.90786429611e-06,0.003314307658,0.0002979709353,0.000849535564595,-0.000604258930155,0.00204248680288,0.0066286129877,0.00156504937191,0.00923466208599
11745.971,0.00286841144112,-0.000857334687762,0.00157773226965,0.000453242355483,-0.000482526495411,0.0029367690717,0.00315546314232,2.49955382969e-06,,0.00662860553712,9.90786429611e-06,0.003314307658,0.000288977632409,0.000859188879202,-0.00066299431159,0.000452160008612,0.0066286129877,0.00448794771921,0.00913946915564
11745.992,0.00286895199219,-0.00087320994774,0.00166291091591,2.57405271812e-05,-0.000755964760862,0.00324332919929,0.00332582043484,2.76527225651e-06,,0.00712675135583,1.1851164345e-05,0.00356338080019,0.00045888970669,0.00087491805161,-0.000645925578518,2.39950610957e-05,0.00712676113471,0.00701256234371,0.00946082972125
11746.011,0.00288851079728,-0.000887924580773,0.00166291091591,0.00102941079444,-0.000774454370127,0.00318183880911,0.00332582043484,2.76527225651e-06,,0.00712675135583,1.1851164345e-05,0.00356338080019,0.000439418711991,0.00088965124006,-0.000706380515892,0.00102757299874,0.00712676113471,0.00915956446658,0.00937496479023
11746.031,0.00294095312012,-0.000902995039111,0.00185164890718,0.00262211614163,-0.00075352291688,0.00312262164041,0.00370329571888,3.45150260728e-06,,0.00764671433717,1.41577065733e-05,0.00382336275652,0.000764544588397,0.000904590041529,-0.000580094957435,0.00262027601592,0.00764672737569,0.0120166616362,0.00992657522377
11746.053,0.00303941838899,-0.000922992194712,0.00194723298773,0.00447569403976,-0.000908961618251,0.0028766655074,0.00389446364716,3.8054452034e-06,,0.00764671433717,1.41577065733e-05,0.00382336275652,0.000857354982753,0.000924661393387,-0.000547797518041,0.00447341222416,0.00764672737569,0.0148945156702,0.0100428491103
11746.072,0.00319072176056,-0.000937661898636,0.00194723298773,0.008405742865,-0.000814983551353,0.00327034981061,0.00389446364716,3.8054452034e-06,,0.00764671433717,1.41577065733e-05,0.00382336275652,0.000706143999387,0.000939666991333,-0.000606663814632,0.00840363407063,0.00764672737569,0.0167267050432,0.00996067204407
11746.092,0.00339285203843,-0.000951779322266,0.0020453077741,0.0101065138933,-0.000705871181485,0.00375492786649,0.00409061275423,4.1832822717e-06,,0.00818121433258,1.67331236298e-05,0.00409061554819,0.000700271522829,0.000954124893345,-0.000583687585598,0.0101046232372,0.00818123109639,0.0178655348502,0.0103157881726
11746.112,0.00364389880711,-0.000965438588358,0.0020453077741,0.0119546080332,-0.000650441242512,0.00385794287971,0.00409061275423,4.1832822717e-06,,0.00818121433258,1.67331236298e-05,0.00409061554819,0.000449339990589,0.000968407711353,-0.000664704386068,0.0119528014334,0.00818123109639,0.0145369307163,0.0101900448936
11746.132,0.00394049317759,-0.000978010556925,0.00226114690304,0.015610230025,-0.000661682556166,0.00415553073033,0.00452228961512,5.142682312e-06,,0.00873753428459,1.97552471946e-05,0.00436877878383,0.000584536153457,0.000981526806487,-0.000527820341004,0.0156083239056,0.00873755663633,0.0118347516275,0.0107729489173
11746.155,0.00424952011084,-0.000992355517888,0.00237036636099,0.012876122218,-0.000597706706741,0.00348651223895,0.00474072806537,5.63656340091e-06,,0.00873753428459,1.97552471946e-05,0.00436877878383,0.000494072799352,0.00099657690012,-0.000502277176789,0.0128743520946,0.00873755663633,0.00885907956955,0.0108668910085
11746.171,0.00454657524569,-0.00100403747009,0.00237036636099,0.0185659459287,-0.000730122012824,0.00436965868266,0.00474072806537,5.63656340091e-06,,0.00873753428459,1.97552471946e-05,0.00436877878383,0.000197122999326,0.00100909835717,-0.000572191715709,0.0185637171275,0.00873755663633,0.00619058373593,0.0107486941119
